sub,init,list,word,ons_poa,coda_vc,coda_poa,vowel,vot,vdur
1,AR,1,pack,1,0,3,ae,,
1,AR,1,pup,1,0,1,uh,0.064,0.08
1,AR,1,cat,3,0,2,ae,0.115,0.143
1,AR,1,tup,2,0,1,uh,0.113,0.083
1,AR,1,cog,3,1,3,aw,0.103,0.16
1,AR,1,puck,1,0,3,uh,0.072,0.09
1,AR,1,pig,1,1,3,ih,0.101,0.112
1,AR,1,kick,3,0,3,ih,0.098,0.095
1,AR,1,tug,2,1,3,uh,0.127,0.15
1,AR,1,cub,3,1,1,uh,0.095,0.087
1,AR,1,tub,2,1,1,uh,0.089,0.131
1,AR,1,keg,3,1,3,eh,0.103,0.122
1,AR,1,tib,2,1,1,ih,0.129,0.099
1,AR,1,pat,1,0,2,ae,0.089,0.146
1,AR,1,top,2,0,1,aw,0.106,0.139
1,AR,1,cud,3,1,2,uh,0.099,0.117
1,AR,1,pap,1,0,1,ae,0.084,0.144
1,AR,1,tip,2,0,1,ih,0.092,0.069
1,AR,1,cod,3,1,2,aw,0.097,0.195
1,AR,1,pick,1,0,3,ih,0.059,0.061
1,AR,1,tot,2,0,2,aw,0.113,0.108
1,AR,1,pep,1,0,1,eh,0.07,0.066
1,AR,1,tat,2,0,2,ae,0.126,0.202
1,AR,1,cack,3,0,3,ae,0.077,0.156
1,AR,1,peg,1,1,3,eh,0.09,0.108
1,AR,1,tuck,2,0,3,uh,0.1,0.086
1,AR,1,pop,1,0,1,aw,0.087,0.11
1,AR,1,cup,3,0,1,uh,0.08,0.065
1,AR,1,tech,2,0,3,eh,0.101,0.107
1,AR,1,pad,1,1,2,ae,0.111,0.225
1,AR,1,putt,1,0,2,uh,0.071,0.09
1,AR,1,cut,3,0,2,uh,0.077,0.098
1,AR,1,todd,2,1,2,aw,0.131,0.288
1,AR,1,cot,3,0,2,aw,0.112,0.135
1,AR,1,talk,2,0,3,aw,0.14,0.142
1,AR,1,ted,2,1,2,eh,0.117,0.162
1,AR,1,tut,2,0,2,uh,0.123,0.118
1,AR,1,pug,1,1,3,uh,0.078,0.123
1,AR,1,pot,1,0,2,aw,0.091,0.141
1,AR,1,cop,3,0,1,aw,0.1,0.161
1,AR,1,pit,1,0,2,ih,0.081,0.095
1,AR,1,pod,1,1,2,aw,0.101,0.245
1,AR,1,kid,3,1,2,ih,0.07,0.114
1,AR,1,tog,2,1,3,aw,0.106,0.224
1,AR,1,tag,2,1,3,ae,0.091,0.199
1,AR,1,tack,2,0,3,ae,0.114,0.184
1,AR,1,cab,3,1,1,ae,0.113,0.242
1,AR,1,pock,1,0,3,aw,0.084,0.151
1,AR,1,tad,2,1,2,ae,0.102,0.228
1,AR,1,pub,1,1,1,uh,0.099,0.099
1,AR,1,kit,3,0,2,ih,0.085,0.12
1,AR,1,ped,1,1,2,eh,0.097,0.155
1,AR,1,cap,3,0,1,ae,0.087,0.121
1,AR,1,kip,3,0,1,ih,0.088,0.086
1,AR,1,peck,1,0,3,eh,0.073,0.093
1,AR,1,pet,1,0,2,eh,0.091,0.109
1,AR,1,tab,2,1,1,ae,0.129,0.185
1,AR,1,pog,1,1,3,aw,0.099,0.232
1,AR,1,tap,2,0,1,ae,0.094,0.134
1,AR,1,cad,3,1,2,ae,0.118,0.271
1,AR,1,cob,3,1,1,aw,0.088,0.177
1,AR,2,pack,1,0,3,ae,0.095,0.144
1,AR,2,pup,1,0,1,uh,0.065,0.081
1,AR,2,cat,3,0,2,ae,0.1,0.139
1,AR,2,tup,2,0,1,uh,0.088,0.104
1,AR,2,cog,3,1,3,aw,0.088,0.238
1,AR,2,puck,1,0,3,uh,0.065,0.093
1,AR,2,pig,1,1,3,ih,0.097,0.085
1,AR,2,kick,3,0,3,ih,0.089,0.073
1,AR,2,tug,2,1,3,uh,0.11,0.169
1,AR,2,cub,3,1,1,uh,0.09,0.115
1,AR,2,tub,2,1,1,uh,0.095,0.14
1,AR,2,keg,3,1,3,eh,0.091,0.137
1,AR,2,tib,2,1,1,ih,0.108,0.113
1,AR,2,pat,1,0,2,ae,0.083,0.169
1,AR,2,top,2,0,1,aw,0.093,0.144
1,AR,2,cud,3,1,2,uh,0.096,0.153
1,AR,2,pap,1,0,1,ae,0.071,0.119
1,AR,2,tip,2,0,1,ih,0.062,0.058
1,AR,2,cod,3,1,2,aw,0.079,0.208
1,AR,2,pick,1,0,3,ih,0.07,0.067
1,AR,2,tot,2,0,2,aw,0.101,0.134
1,AR,2,pep,1,0,1,eh,0.076,0.08
1,AR,2,tat,2,0,2,ae,0.098,0.142
1,AR,2,cack,3,0,3,ae,0.1,0.135
1,AR,2,peg,1,1,3,eh,0.089,0.092
1,AR,2,tuck,2,0,3,uh,0.084,0.093
1,AR,2,pop,1,0,1,aw,0.062,0.107
1,AR,2,cup,3,0,1,uh,0.076,0.064
1,AR,2,tech,2,0,3,eh,0.077,0.098
1,AR,2,pad,1,1,2,ae,0.09,0.161
1,AR,2,putt,1,0,2,uh,0.055,0.122
1,AR,2,cut,3,0,2,uh,0.065,0.073
1,AR,2,todd,2,1,2,aw,0.1,0.23
1,AR,2,cot,3,0,2,aw,0.094,0.112
1,AR,2,talk,2,0,3,aw,0.087,0.117
1,AR,2,ted,2,1,2,eh,0.108,0.127
1,AR,2,tut,2,0,2,uh,0.114,0.107
1,AR,2,pug,1,1,3,uh,0.066,0.102
1,AR,2,pot,1,0,2,aw,0.078,0.129
1,AR,2,cop,3,0,1,aw,0.074,0.126
1,AR,2,pit,1,0,2,ih,0.068,0.097
1,AR,2,pod,1,1,2,aw,0.076,0.226
1,AR,2,kid,3,1,2,ih,0.091,0.147
1,AR,2,tog,2,1,3,aw,0.099,0.158
1,AR,2,tag,2,1,3,ae,0.115,0.166
1,AR,2,tack,2,0,3,ae,0.09,0.104
1,AR,2,cab,3,1,1,ae,0.091,0.213
1,AR,2,pock,1,0,3,aw,0.085,0.145
1,AR,2,tad,2,1,2,ae,0.096,0.193
1,AR,2,pub,1,1,1,uh,0.111,0.093
1,AR,2,kit,3,0,2,ih,0.067,0.07
1,AR,2,ped,1,1,2,eh,0.102,0.135
1,AR,2,cap,3,0,1,ae,0.1,0.133
1,AR,2,kip,3,0,1,ih,0.07,0.058
1,AR,2,peck,1,0,3,eh,0.077,0.078
1,AR,2,pet,1,0,2,eh,0.064,0.086
1,AR,2,tab,2,1,1,ae,0.109,0.169
1,AR,2,pog,1,1,3,aw,0.085,0.206
1,AR,2,tap,2,0,1,ae,0.09,0.109
1,AR,2,cad,3,1,2,ae,0.102,0.217
1,AR,2,cob,3,1,1,aw,0.111,0.156
2,DE,1,pack,1,0,3,ae,0.063,0.143
2,DE,1,pup,1,0,1,uh,0.048,0.077
2,DE,1,cat,3,0,2,ae,0.074,0.126
2,DE,1,tup,2,0,1,uh,0.079,0.09
2,DE,1,cog,3,1,3,aw,0.071,0.159
2,DE,1,puck,1,0,3,uh,0.078,0.066
2,DE,1,pig,1,1,3,ih,0.052,0.116
2,DE,1,kick,3,0,3,ih,0.062,0.104
2,DE,1,tug,2,1,3,uh,0.079,0.131
2,DE,1,cub,3,1,1,uh,0.089,0.119
2,DE,1,tub,2,1,1,uh,0.08,0.13
2,DE,1,keg,3,1,3,eh,0.065,0.152
2,DE,1,tib,2,1,1,ih,0.061,0.115
2,DE,1,pat,1,0,2,ae,0.078,0.122
2,DE,1,top,2,0,1,aw,0.084,0.126
2,DE,1,cud,3,1,2,uh,0.077,0.137
2,DE,1,pap,1,0,1,ae,0.088,0.149
2,DE,1,tip,2,0,1,ih,0.048,0.104
2,DE,1,cod,3,1,2,aw,,
2,DE,1,pick,1,0,3,ih,0.043,0.099
2,DE,1,tot,2,0,2,aw,0.053,0.143
2,DE,1,pep,1,0,1,eh,0.072,0.086
2,DE,1,tat,2,0,2,ae,0.066,0.14
2,DE,1,cack,3,0,3,ae,0.05,0.154
2,DE,1,peg,1,1,3,eh,0.084,0.134
2,DE,1,tuck,2,0,3,uh,0.041,0.11
2,DE,1,pop,1,0,1,aw,0.058,0.139
2,DE,1,cup,3,0,1,uh,0.077,0.089
2,DE,1,tech,2,0,3,eh,0.055,0.11
2,DE,1,pad,1,1,2,ae,0.072,0.158
2,DE,1,putt,1,0,2,uh,0.059,0.1
2,DE,1,cut,3,0,2,uh,0.092,0.111
2,DE,1,Todd,2,1,2,aw,0.07,0.145
2,DE,1,cot,3,0,2,aw,0.116,0.121
2,DE,1,talk,2,0,3,aw,0.085,0.13
2,DE,1,Ted,2,1,2,eh,0.076,0.133
2,DE,1,tut,2,0,2,uh,0.089,0.1
2,DE,1,pug,1,1,3,uh,0.059,0.111
2,DE,1,pot,1,0,2,aw,0.058,0.113
2,DE,1,cop,3,0,1,aw,0.077,0.133
2,DE,1,pit,1,0,2,ih,0.048,0.104
2,DE,1,pod,1,1,2,aw,0.054,0.178
2,DE,1,kid,3,1,2,ih,0.067,0.129
2,DE,1,tog,2,1,3,aw,0.048,0.193
2,DE,1,tag,2,1,3,ae,0.058,0.192
2,DE,1,tack,2,0,3,ae,0.064,0.132
2,DE,1,cab,3,1,1,ae,0.06,0.154
2,DE,1,pock,1,0,3,aw,0.084,0.143
2,DE,1,tad,2,1,2,ae,0.075,0.179
2,DE,1,pub,1,1,1,uh,0.065,0.094
2,DE,1,kit,3,0,2,ih,0.065,0.103
2,DE,1,ped,1,1,2,eh,0.082,0.116
2,DE,1,cap,3,0,1,ae,0.069,0.138
2,DE,1,kip,3,0,1,ih,0.086,0.076
2,DE,1,peck,1,0,3,eh,0.06,0.1
2,DE,1,pet,1,0,2,eh,0.044,0.112
2,DE,1,tab,2,1,1,ae,0.034,0.157
2,DE,1,pog,1,1,3,aw,0.067,0.156
2,DE,1,tap,2,0,1,ae,0.078,0.137
2,DE,1,cad,3,1,2,ae,0.096,0.173
2,DE,1,cob,3,1,1,aw,0.093,0.144
2,DE,2,pack,1,0,3,ae,0.072,0.131
2,DE,2,pup,1,0,1,uh,0.06,0.1
2,DE,2,cat,3,0,2,ae,0.071,0.128
2,DE,2,tup,2,0,1,uh,0.079,0.088
2,DE,2,cog,3,1,3,aw,0.061,0.16
2,DE,2,puck,1,0,3,uh,0.077,0.092
2,DE,2,pig,1,1,3,ih,0.045,0.124
2,DE,2,kick,3,0,3,ih,0.079,0.088
2,DE,2,tug,2,1,3,uh,0.052,0.141
2,DE,2,cub,3,1,1,uh,0.088,0.127
2,DE,2,tub,2,1,1,uh,0.077,0.125
2,DE,2,keg,3,1,3,eh,0.054,0.151
2,DE,2,tib,2,1,1,ih,0.053,0.125
2,DE,2,pat,1,0,2,ae,0.07,0.154
2,DE,2,top,2,0,1,aw,0.084,0.14
2,DE,2,cud,3,1,2,uh,0.094,0.134
2,DE,2,pap,1,0,1,ae,0.083,0.145
2,DE,2,tip,2,0,1,ih,0.083,0.087
2,DE,2,cod,3,1,2,aw,0.071,0.213
2,DE,2,pick,1,0,3,ih,0.047,0.111
2,DE,2,tot,2,0,2,aw,0.086,0.147
2,DE,2,pep,1,0,1,eh,0.07,0.102
2,DE,2,tat,2,0,2,ae,0.061,0.158
2,DE,2,cack,3,0,3,ae,0.066,0.165
2,DE,2,peg,1,1,3,eh,0.081,0.121
2,DE,2,tuck,2,0,3,uh,0.072,0.107
2,DE,2,pop,1,0,1,aw,0.059,0.14
2,DE,2,cup,3,0,1,uh,0.081,0.092
2,DE,2,tech,2,0,3,eh,0.1,0.09
2,DE,2,pad,1,1,2,ae,0.069,0.182
2,DE,2,putt,1,0,2,uh,0.054,0.091
2,DE,2,cut,3,0,2,uh,0.089,0.094
2,DE,2,todd,2,1,2,aw,0.067,0.194
2,DE,2,cot,3,0,2,aw,0.072,0.118
2,DE,2,talk,2,0,3,aw,0.074,0.136
2,DE,2,ted,2,1,2,eh,0.051,0.147
2,DE,2,tut,2,0,2,uh,0.046,0.121
2,DE,2,pug,1,1,3,uh,0.034,0.127
2,DE,2,pot,1,0,2,aw,0.073,0.119
2,DE,2,cop,3,0,1,aw,0.078,0.115
2,DE,2,pit,1,0,2,ih,0.063,0.075
2,DE,2,pod,1,1,2,aw,0.065,0.179
2,DE,2,kid,3,1,2,ih,0.09,0.122
2,DE,2,tog,2,1,3,aw,0.096,0.17
2,DE,2,tag,2,1,3,ae,0.076,0.175
2,DE,2,tack,2,0,3,ae,0.091,0.126
2,DE,2,cab,3,1,1,ae,0.085,0.176
2,DE,2,pock,1,0,3,aw,0.092,0.137
2,DE,2,tad,2,1,2,ae,0.086,0.164
2,DE,2,pub,1,1,1,uh,0.066,0.117
2,DE,2,kit,3,0,2,ih,0.079,0.097
2,DE,2,ped,1,1,2,eh,0.069,0.134
2,DE,2,cap,3,0,1,ae,0.075,0.148
2,DE,2,kip,3,0,1,ih,0.089,0.082
2,DE,2,peck,1,0,3,eh,0.044,0.107
2,DE,2,pet,1,0,2,eh,0.089,0.081
2,DE,2,tab,2,1,1,ae,0.065,0.168
2,DE,2,pog,1,1,3,aw,0.064,0.167
2,DE,2,tap,2,0,1,ae,0.076,0.144
2,DE,2,cad,3,1,2,ae,0.1,0.184
2,DE,2,cob,3,1,1,aw,0.082,0.156
3,CN,2,pack,1,0,3,ae,0.065,0.184
3,CN,2,pup,1,0,1,uh,0.064,0.096
